Title,Year,Directors,Rating,WatchedDate,Review
The Talented Mr. Ripley ,1999,Anthony Minghella,2.0,2014-10-01,"Stylistically this film is very nice. It's colorful, well-shot and accompanied by some very nice jazz music. Sadly, however, the acting is really weird. It's hard to take seriously at times, as if it's deliberately very 'gay' and too 'cool'. The story starts out as an interesting case, but more and more it feels implausible, mostly due to the increasing number of lucky breaks of Tom. Fun to watch, but not great."
Batman Begins,2005,Christopher Nolan,2.0,2014-09-14,"To some extent the film has the Batman vibe you'd hope for, but most of it is crushed by the applied Hollywood formula. Cliche camera work and soundtrack, typical personas with oneliners we've all heard before, and the horrible character development of Ra's Al Ghul, whose cheap role in the plot is far too prominent. All in all it's nothing new: just another issue from the good ol' Hollywood press. Disappointing."
The Red Circle,1970,Jean-Pierre Melville,5.0,2026-03-29,"The heist is utilized for displaying the complex, nonverbal interactions, and for showcasing the colorful, decorative, creatively shot and detailed style. The heist is shown silently and slowly paced. Melville turned genre cliches into a beautiful act. For example, you wonder who knows what, and how? There are no definite answers though, because they don't actually matter. This film is, without doubt, a masterpiece."
Judex,1963,Georges Franju,2.0,2021-02-18,"I'm difficult to please when it comes to symbolism, especially in a mystic context like this. Aesthetically it's nicely done, peaking at the ball room scene with the beautiful 'birdman'. The decoration is done nicely and some personas are fun, but the whole feels jumbled and without aim. It jumps betweeen infantile humor, Judex with his unclear intentions and role, and the insignificant crime storyline. Not so great."
Le notti bianche,1957,Luchino Visconti,4.0,2024-10-20,"Though at times a bit old-fashioned and cheesy considering both acting and vibe, the film's full of life and natural romance. Notable are the enchanting dance scene, where the magic blossoms tremendously between them dancing, and the snowy end scene, which is so grievously real. Throughout the film treats you with marvellous photography, carefully composed and arranged. Also, if you've read the book: watch this."
Her,2013,Spike Jonze,4.0,2014-08-24,"I really enjoyed this film. It has a very appealing and easy on the eye visual style. Accompanied by a smooth and soft soundtrack this forms an accessible but fine style. The idea of the film is original, and I'd say realised very well. It avoids being too cliche, while not becoming too experimental at the same time. Ultimately it aims to make everyone -film nerds and the larger audience- happy, and does a good job."
Escape from New York,1981,John Carpenter,4.0,2026-04-25,"In the beautifully decorated prison-town Manhattan you get to experience a zombie-esque suspense, bizarre characters and weird events. The film does, however, maintain the vibe of not being ridiculously over-the-top, mostly thanks to moderation and variety. The inventive idea of Manhattan's new use, Isaac Hayes in a car with chandeliers mounted on it and Kurt Russell as the typical douchebag hero: what's not to like?"
Mr. Nobody,2009,Jaco van Dormael,1.0,2020-01-13,"Unaware of the film's long duration, I slowly died watching it. After the first 30 minutes, which were mildly enjoyable, it disappointed me for one reason after another. It's aimless and incoherent, produced in an annoying and cliche style and a horribly bad mix of romance and sci-fi. It's simply terrible in just about each and every way, I really wish I had a time machine."
Blow-Up,1966,Michelangelo Antonioni,4.0,2020-04-02,"What a playful, energetic and authentic work by Antonioni. Its protagonist is oddly compelling and his charming and mischievous character is backed by creative filming like the random interruption of Thomas's photo analysis by the two girls, resulting in the flirtatious frolicking. There's a lot of beautiful shots in this film, and an interesting ending as well. Be warned though, this film does require some patience."
Samurai Cop,1991,Amir Shervan,2.0,2014-08-11,"From the immediate start you just know this is going to be very, very, very bad. The movie is so bad, that I honestly don't believe it's unintentional, even though a lot of people on the web seem to disagree. It's a great laugh from time to time, but perhaps a bit much to be looking at for 96 minutes."
Blue Ruin,2013,Jeremy Saulnier,4.0,2019-01-24,"We get to follow the mysterious, sad looking guy named Dwight moving from one weird situation to another. Slowly, his story is told and his intentions are clarified. The plot turns out to be deceivingly simple, but this is used in a very original way. A quite minimalist film with great suspense accompanied by subtle, goofy humor, clean production, easy on the eyes and ears. I really like the ending too."
Three Colors: Blue,1993,Krzysztof Kieślowski,4.0,2021-04-30,"Beautiful shots, lively colors and the best possible character development you can hope for. Julie's personality and growth are both realistic and fascinating. Credits to Binoche for her marvellous acting! I didn't care much for the poetic use of music and the parts about the compositions though, and found the use and role of music in The Double Life Of Véronique more succesful. Nonetheless, this film is fantastic."
Chasing Ice,2012,Jeff Orlowski,4.0,2021-04-30,"Using mainly images, this film proves beyond doubt that at least something is horribly wrong climatically. It hurts me watching this, to see proof of how bad the situation is and how quickly it worsens at the hands of mankind. It's not all depressing though. The film is visually breathtaking and the adventure of the project is well documented. Ultimately, this is a bright initiative to inform in an accessible way."
The Wind Rises,2013,Hayao Miyazaki,4.0,2014-08-02,"Probably Miyazaki's most mature film, moving beyond the typical fairylike story. It's layered and not as easy to digest as most of his earlier films. The protagonist is not a typical hero, but a realistic human being who makes questionable choices. You are also confronted with the hard nature of reality in several ways. But rest assured, it's all in the magical style we've grown so attached to. Nearly a masterpiece!"
